,lname,fname,party,state,anti_abortion,pro_abortion_rights,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,human_rights,leadership_pacs,lgbtqia_rights,pro_israel,republican_candidate_committees,republican_leadership_pac,republican,womens_issues,in_office,total_donations,votes
133,Lamb,Conor,D,PA,0,1500,16000,16000,36901,81426,-9600,26513,-9600,0,9050,36901,0,7300,0,0,0,12235,1,224627,
134,Lamon,Jim,R,AZ,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1000,0,69797,0,0,71797,
135,Lankford,James,R,OK,16321,0,4000,0,0,0,0,0,0,16405,1500,291899,0,254360,4000,268000,70066,0,1,926552,739302.0
136,Larson,Christopher,D,WI,0,0,0,0,0,3167,0,0,0,0,0,0,0,0,0,0,0,0,0,3167,
137,Lasry,Alex,D,WI,0,2900,0,0,0,3150,0,0,0,0,0,0,0,500,0,0,0,0,0,6550,
138,Laxalt,Adam,R,NV,9300,0,8900,0,0,0,0,0,0,67325,7900,319900,0,69515,8900,260500,661225,0,0,1413465,476676.0
139,Leahy,Patrick,D,VT,0,250,2000,2000,110400,6800,-1750,0,0,0,-350,117900,0,2500,0,0,0,0,1,239751,
140,Lee,Mike,R,UT,11928,0,23500,0,0,115210,2900,0,0,32766,12314,482600,0,84023,23500,418900,478365,0,1,1686007,363620.0
141,Levy,Leora,R,CT,1035,0,1000,0,0,0,500,12800,0,0,0,101500,0,11700,1000,74500,49551,6040,0,259626,535943.0
142,Lewis,Jason,R,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28540,0,0,-28540,
143,Loeffler,Kelly,R,GA,0,0,6500,0,0,0,90,0,0,15812,128,-26925,0,0,6500,-26925,-1680938,2033,0,-1703725,
144,Long,Billy,R,MO,0,0,17000,0,0,0,0,0,0,0,0,100350,0,15160,17000,89100,10612,0,1,249223,
145,Lujan,Ben Ray,D,NM,0,0,6000,6000,794,14300,6191,0,0,0,2500,794,0,0,0,0,0,0,1,36580,
146,Lummis,Cynthia,R,WY,1000,0,0,0,0,0,0,0,0,2500,0,25000,0,0,0,25000,2000,0,1,55501,
147,Mackler,James,D,TN,0,0,-6000,-6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12000,
148,Malloy,Gerald,R,VT,0,0,0,0,0,0,0,0,0,0,0,15500,0,0,0,8500,35580,0,0,59580,80121.0
149,Manchin,Joe,D,WV,0,0,3000,1000,15000,18350,6500,0,5750,0,14900,23500,0,0,2000,0,0,0,1,90001,
150,Mandel,Josh,R,OH,750,0,1150,0,0,0,0,0,0,12630,0,21000,0,281230,1150,15000,527109,0,0,860019,
151,Markey,Ed,D,MA,0,0,1500,1500,0,6913,1000,0,0,0,1297,0,0,0,0,0,0,0,1,12211,
152,Marshall,Roger,R,KS,0,0,2000,0,0,0,0,0,0,7550,0,15000,0,0,2000,10000,11865,0,1,48416,
153,Masters,Blake,R,AZ,18235,0,11000,0,0,27490,0,0,0,58567,5000,170700,0,21090,11000,137000,526599,0,0,986681,1196308.0
